"game_id","home_team_name","away_team_name","home_team_spread","home_final","away_final","quarters","total_line","total","result","sgp_hit","sgp_ins"
401468466,"Portland","LA",4,112,118,4,211,230,-6,0,0
401468467,"Cleveland","Philadelphia",3.5,113,85,4,209.5,198,28,0,0
401468468,"Orlando","Atlanta",-6.5,108,125,4,228,233,-17,0,1
401468469,"Boston","Miami",9.5,134,121,4,224.5,255,13,0,1
401468470,"Brooklyn","Washington",5.5,113,107,4,228,220,6,1,0
401468471,"New York","Milwaukee",-6,103,109,4,227.5,212,-6,0,1
401468472,"Minnesota","Memphis",-2.5,109,101,4,231.5,210,8,0,0
401468473,"New Orleans","Toronto",-2.5,126,108,4,221.5,234,18,0,0
401468474,"Oklahoma City","San Antonio",3,119,111,4,230,230,8,1,0
401468475,"Denver","Houston",11.5,120,100,4,230,220,20,0,1
401468476,"Phoenix","Chicago",5.5,132,113,4,226.5,245,19,0,0
401468477,"Utah","LA",7.5,125,112,4,223,237,13,0,1
401468478,"Sacramento","Indiana",4.5,137,114,4,242.5,251,23,0,1
401468479,"Los Angeles","Portland",6,128,109,4,223.5,237,19,0,0
401468480,"Detroit","Dallas",-8,131,125,5,221.5,256,6,0,0
401468481,"Charlotte","Washington",-4,117,116,4,225.5,233,1,1,0
401468482,"Atlanta","Denver",-5,117,109,4,225.5,226,8,0,1
401468483,"Boston","Miami",7,116,120,5,227,236,-4,0,1
401468484,"Brooklyn","Toronto",1.5,114,105,4,223,219,9,1,0
401468485,"Cleveland","Orlando",11,107,96,4,218,203,11,0,1
401468486,"Milwaukee","Los Angeles",8.5,129,133,4,230.5,262,-4,0,0
401468487,"Memphis","Philadelphia",4.5,117,109,4,218,226,8,1,0
401468488,"San Antonio","New Orleans",-7,99,117,4,233,216,-18,0,0
401468489,"Phoenix","Houston",11.5,121,122,4,229.5,243,-1,0,0
401468490,"Utah","Indiana",4,139,119,4,240.5,258,20,0,0
401468491,"Golden State","Chicago",7,119,111,4,237.5,230,8,1,0
401468492,"New York","Dallas",-1.5,100,121,4,224,221,-21,0,1
401468493,"LA","Sacramento",-3.5,96,123,4,228,219,-27,0,1
401468494,"Charlotte","Milwaukee",-1.5,96,105,4,220.5,201,-9,0,1
401468495,"Toronto","Orlando",11.5,121,108,4,220.5,229,13,1,0
401468496,"Minnesota","Oklahoma City",5.5,128,135,4,233.5,263,-7,0,0
401468497,"Golden State","Houston",11.5,120,101,4,235,221,19,0,1
401468498,"Utah","Portland",5,111,116,4,227.5,227,-5,0,1
401468499,"New Orleans","Denver",1.5,121,106,4,231,227,15,0,1
401468500,"San Antonio","Phoenix",-10,95,133,4,230.5,228,-38,0,1
401468501,"Brooklyn","Boston",-2.5,92,103,4,230.5,195,-11,0,1
401468502,"Detroit","Memphis",-6.5,112,122,4,228.5,234,-10,1,0
401468503,"New York","Cleveland",-2.5,92,81,4,222.5,173,11,0,0
401468504,"Washington","Los Angeles",1.5,119,130,4,234.5,249,-11,0,0
401468505,"Sacramento","Chicago",3,110,101,4,239.5,211,9,0,1
401468506,"Portland","Indiana",5,116,100,4,232.5,216,16,0,0
401468507,"Charlotte","LA",-6,118,119,4,217.5,237,-1,0,1
401468508,"Orlando","Milwaukee",-10.5,102,109,4,226.5,211,-7,0,1
401468509,"Atlanta","Oklahoma City",6,114,121,4,237,235,-7,0,1
401468510,"Toronto","Boston",1.5,110,116,4,228.5,226,-6,1,0
401468511,"Houston","Philadelphia",-7.5,132,123,6,222.5,255,9,0,0
401468512,"Memphis","Miami",-5,101,93,4,218.5,194,8,0,0
401468513,"Dallas","Phoenix",3,130,111,4,223,241,19,0,0
401468514,"Golden State","Indiana",12,104,112,4,240,216,-8,0,0
401468515,"Cleveland","Los Angeles",6,116,102,4,224.5,218,14,1,0
401468516,"Miami","Detroit",7.5,96,116,4,220,212,-20,0,1
401468517,"Denver","Dallas",4,115,116,4,223.5,231,-1,1,0
401468518,"Orlando","LA",-6.5,116,111,5,216.5,227,5,0,0
401468519,"Brooklyn","Charlotte",10,122,116,4,223.5,238,6,0,1
401468520,"New York","Atlanta",2.5,113,89,4,232.5,202,24,0,0
401468521,"Toronto","Los Angeles",12.5,126,113,4,229,239,13,0,1
401468522,"Chicago","Washington",5,115,111,4,227,226,4,1,0
401468523,"Memphis","Oklahoma City",8.5,123,102,4,233,225,21,0,1
401468524,"Milwaukee","Sacramento",6.5,126,113,4,236.5,239,13,1,0
401468525,"Minnesota","Indiana",4,121,115,4,238.5,236,6,1,0
401468526,"New Orleans","Detroit",11,104,98,4,229,202,6,0,1
401468527,"Utah","Golden State",5.5,124,123,4,230.5,247,1,0,1
401468528,"Phoenix","Boston",2,98,125,4,230.5,223,-27,0,1
401468529,"Miami","LA",6.5,115,110,4,211,225,5,0,1
401468530,"San Antonio","Houston",-2,118,109,4,230,227,9,0,1
401468531,"Portland","Denver",-1.5,120,121,4,227.5,241,-1,0,1
401468532,"Charlotte","New York",-4,102,121,4,224,223,-19,0,1
